"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"6","ENSG00000000938",220.085446765869,1.04269869869523,0.0048755548641455,0.0234410768239373,"FGR"
"45","ENSG00000003989",14084.7804097702,-1.13838524873778,3.60734335223558e-06,6.24357489546102e-05,"SLC7A2"
"108","ENSG00000005844",488.179560567063,1.20793445969283,0.000798113392341809,0.0054155503348321,"ITGAL"
"186","ENSG00000007402",228.740267456742,1.31221942071636,2.77486671116437e-06,4.99875748712275e-05,"CACNA2D2"
"218","ENSG00000008394",528.261376726731,-1.32635330987665,0.00266483444232585,0.0143174026643543,"MGST1"
"221","ENSG00000008441",1010.18182993615,1.07511268877982,2.97323284819626e-06,5.29570707656179e-05,"NFIX"
"267","ENSG00000010610",2889.79961515494,1.53027107447048,1.06397242372008e-06,2.20982286371536e-05,"CD4"
"274","ENSG00000010932",232.495071946902,1.39699189070584,1.16065268693006e-05,0.000165794899762709,"FMO1"
"302","ENSG00000011465",51664.0074112174,1.07613373813666,2.46439787888232e-06,4.52087464187141e-05,"DCN"
"317","ENSG00000012223",250.531884022377,-1.87919864088489,3.15700430139699e-06,5.56376124767291e-05,"LTF"
"375","ENSG00000017427",152.487112349505,1.73738035358339,7.14500577763907e-08,2.25719291568656e-06,"IGF1"
"411","ENSG00000021645",548.479803708329,1.0119505607114,0.000227610919311962,0.00194561632309615,"NRXN3"
"436","ENSG00000023839",1270.91667606233,-1.29724348635286,6.94739963063664e-05,0.000736247732043315,"ABCC2"
"479","ENSG00000029534",1259.18535221275,-2.00241570682582,8.11369124154034e-09,3.63988193633944e-07,"ANK1"
"517","ENSG00000034971",8.75063910125053,1.44167394441613,0.00300641973922833,0.0158212641090164,"MYOC"
"550","ENSG00000038295",855.707349386294,1.35849915741293,6.5452557314835e-08,2.09867751082567e-06,"TLL1"
"599","ENSG00000043462",681.129545807148,1.53911725853512,7.58375818961889e-07,1.65771122204546e-05,"LCP2"
"631","ENSG00000047648",407.392245986448,1.37202320456017,1.99835878238803e-09,1.09044988685508e-07,"ARHGAP6"
"650","ENSG00000048740",750.123092277366,1.71944120421861,8.72838781002569e-07,1.86711600110115e-05,"CELF2"
"744","ENSG00000055118",374.975025065858,1.46589855418029,4.49387575508668e-06,7.48032163958188e-05,"KCNH2"
"753","ENSG00000055732",690.606211162823,1.9211278741404,1.50672506757409e-06,3.00863823872478e-05,"MCOLN3"
"799","ENSG00000059377",488.663154673911,1.7511256803884,1.42208010245951e-07,4.02257003157537e-06,"TBXAS1"
"829","ENSG00000061455",1128.60095079662,1.18843873363719,1.30080746647204e-06,2.63604548843748e-05,"PRDM6"
"948","ENSG00000065809",7921.11003875296,-1.06991305312201,2.62739215493895e-05,0.000331734511375801,"FAM107B"
"956","ENSG00000065989",707.542034907434,1.12413706884113,4.21923068900817e-18,2.07586149899202e-15,"PDE4A"
"967","ENSG00000066248",8.82988351951371,-1.01650797522065,0.005977939308951,0.0275168580583186,"NGEF"
"1021","ENSG00000067798",175.657850793869,1.97641153136309,5.20346157930623e-08,1.73375447738176e-06,"NAV3"
"1099","ENSG00000070081",40995.6481811487,-1.92169812437447,9.74373882102694e-15,2.30259125587922e-12,"NUCB2"
"1104","ENSG00000070193",64.741268703364,4.64505975700504,3.90546445288919e-23,5.0961217026135e-20,"FGF10"
