"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"44","ENSG00000003987",684.515474673188,-1.26999648932287,2.48072895792982e-08,9.28324656925061e-07,"MTMR7"
"64","ENSG00000004846",1.33200576056265,1.24744976583799,0.0102684052394149,0.042158054452164,"ABCB5"
"221","ENSG00000008441",1010.18182993615,1.07511268877982,2.97323284819626e-06,5.29570707656179e-05,"NFIX"
"263","ENSG00000010379",17.437498242044,-1.44979103474392,2.34448274539536e-05,0.000303025909366087,"SLC6A13"
"375","ENSG00000017427",152.487112349505,1.73738035358339,7.14500577763907e-08,2.25719291568656e-06,"IGF1"
"411","ENSG00000021645",548.479803708329,1.0119505607114,0.000227610919311962,0.00194561632309615,"NRXN3"
"517","ENSG00000034971",8.75063910125053,1.44167394441613,0.00300641973922833,0.0158212641090164,"MYOC"
"550","ENSG00000038295",855.707349386294,1.35849915741293,6.5452557314835e-08,2.09867751082567e-06,"TLL1"
"599","ENSG00000043462",681.129545807148,1.53911725853512,7.58375818961889e-07,1.65771122204546e-05,"LCP2"
"614","ENSG00000046889",586.202245710313,2.12578373048083,2.59786551648005e-09,1.35359617848263e-07,"PREX2"
"631","ENSG00000047648",407.392245986448,1.37202320456017,1.99835878238803e-09,1.09044988685508e-07,"ARHGAP6"
"665","ENSG00000049540",2272.12753148171,3.37225999342826,4.78824204187312e-18,2.28102730413803e-15,"ELN"
"700","ENSG00000052344",22261.6680416979,-1.27094864816418,4.45552918019915e-08,1.5317221277908e-06,"PRSS8"
"744","ENSG00000055118",374.975025065858,1.46589855418029,4.49387575508668e-06,7.48032163958188e-05,"KCNH2"
"829","ENSG00000061455",1128.60095079662,1.18843873363719,1.30080746647204e-06,2.63604548843748e-05,"PRDM6"
"956","ENSG00000065989",707.542034907434,1.12413706884113,4.21923068900817e-18,2.07586149899202e-15,"PDE4A"
"1021","ENSG00000067798",175.657850793869,1.97641153136309,5.20346157930623e-08,1.73375447738176e-06,"NAV3"
"1074","ENSG00000069399",620.341555597383,1.48388524879659,1.43532544468331e-14,3.31361440352581e-12,"BCL3"
"1189","ENSG00000072315",4.96709058509098,-1.81834450054388,3.20006460756186e-05,0.000390407882122546,"TRPC5"
"1201","ENSG00000072694",2167.09615331944,2.29603109596695,8.9270115728454e-12,9.40061302892057e-10,"FCGR2B"
"1213","ENSG00000072952",611.579712664413,1.15697062489351,1.33088310720714e-15,3.73294054331782e-13,"MRVI1"
"1247","ENSG00000073910",623.986949488738,1.64888600920951,4.87070174350322e-13,7.24381798592701e-11,"FRY"
"1292","ENSG00000075213",529.356420515359,1.41444350251696,3.37343607722078e-09,1.69871750922064e-07,"SEMA3A"
"1327","ENSG00000075884",80.4705233285384,1.83317170365156,9.59693847975614e-12,9.86381224843977e-10,"ARHGAP15"
"1329","ENSG00000075891",6.82494801995168,-1.80616983259444,2.53742401250956e-05,0.000322000716547302,"PAX2"
"1498","ENSG00000080561",55.3552145963832,1.55457963309078,7.28602759379251e-07,1.6031397371327e-05,"MID2"
"1705","ENSG00000086696",2835.28268815658,1.82493564744139,8.50409108938256e-12,9.08273244749286e-10,"HSD17B2"
"1719","ENSG00000087085",402.263272420952,-1.18228683350887,3.67397471097303e-13,5.71312585625505e-11,"ACHE"
"1725","ENSG00000087116",1639.25480444584,1.88904247404953,1.46557864887406e-07,4.13004191643272e-06,"ADAMTS2"
"1832","ENSG00000089225",1558.9965726999,1.10409028823539,0.000613430906667562,0.00438444590876563,"TBX5"
"1852","ENSG00000089723",1334.66602715255,-1.03294478131049,0.00111906544851769,0.00710251053013635,"OTUB2"
"1868","ENSG00000090104",87.63746627954,1.66527877481975,0.000124685381236477,0.00118984345363089,"RGS1"
"1972","ENSG00000092345",57.4204686046065,-1.41699432547734,1.71833481329307e-06,3.36403551314753e-05,"DAZL"
"2054","ENSG00000096060",1066.67173513186,1.22269286949884,8.58692134119195e-07,1.84342405788164e-05,"FKBP5"
"2087","ENSG00000099260",440.184169921923,1.52724973306644,1.50993700869642e-06,3.01304717453437e-05,"PALMD"
"2127","ENSG00000099860",1027.46337159063,1.01662806466197,0.000123820195221888,0.00118480481857492,"GADD45B"
"2175","ENSG00000100055",1603.07512328665,1.51699620368293,3.45679749435026e-05,0.000414962717204982,"CYTH4"
"2423","ENSG00000100985",671.54137831014,1.65001233064127,0.00045737048553449,0.0034506292136403,"MMP9"
"2664","ENSG00000102312",7740.70832367681,-2.62319976900501,4.36184299405726e-21,3.53804410642288e-18,"PORCN"
"2681","ENSG00000102466",49.7279993449926,1.87299476288427,1.336037298824e-09,7.77076577757867e-08,"FGF14"
"2899","ENSG00000104237",13.8810757750576,2.55714240273194,1.04658446943255e-07,3.09459045286795e-06,"RP1"
"2900","ENSG00000104237",13.8810757750576,2.55714240273194,1.04658446943255e-07,3.09459045286795e-06,"RP1"
"2907","ENSG00000104321",10.534536437522,2.88402808355819,6.09686108538186e-08,1.97388344006991e-06,"TRPA1"
