"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name","FoldChange","FC"
"44","ENSG00000003987",684.515474673188,-1.26999648932287,2.48072895792982e-08,9.28324656925061e-07,"MTMR7",0.414660781948156,-2.41160978692465
"64","ENSG00000004846",1.33200576056265,1.24744976583799,0.0102684052394149,0.042158054452164,"ABCB5",2.37421365036793,2.37421365036793
"221","ENSG00000008441",1010.18182993615,1.07511268877982,2.97323284819626e-06,5.29570707656179e-05,"NFIX",2.10688663420802,2.10688663420802
"263","ENSG00000010379",17.437498242044,-1.44979103474392,2.34448274539536e-05,0.000303025909366087,"SLC6A13",0.366074443715409,-2.7316848175761
"375","ENSG00000017427",152.487112349505,1.73738035358339,7.14500577763907e-08,2.25719291568656e-06,"IGF1",3.33429176883216,3.33429176883216
"411","ENSG00000021645",548.479803708329,1.0119505607114,0.000227610919311962,0.00194561632309615,"NRXN3",2.01663580111072,2.01663580111072
"517","ENSG00000034971",8.75063910125053,1.44167394441613,0.00300641973922833,0.0158212641090164,"MYOC",2.71635859043094,2.71635859043094
"550","ENSG00000038295",855.707349386294,1.35849915741293,6.5452557314835e-08,2.09867751082567e-06,"TLL1",2.56418287534844,2.56418287534844
"599","ENSG00000043462",681.129545807148,1.53911725853512,7.58375818961889e-07,1.65771122204546e-05,"LCP2",2.90616629525124,2.90616629525124
"614","ENSG00000046889",586.202245710313,2.12578373048083,2.59786551648005e-09,1.35359617848263e-07,"PREX2",4.36440120660045,4.36440120660045
"631","ENSG00000047648",407.392245986448,1.37202320456017,1.99835878238803e-09,1.09044988685508e-07,"ARHGAP6",2.58833293983205,2.58833293983205
"665","ENSG00000049540",2272.12753148171,3.37225999342826,4.78824204187312e-18,2.28102730413803e-15,"ELN",10.3550311863284,10.3550311863284
"700","ENSG00000052344",22261.6680416979,-1.27094864816418,4.45552918019915e-08,1.5317221277908e-06,"PRSS8",0.414387201837112,-2.41320194148535
"744","ENSG00000055118",374.975025065858,1.46589855418029,4.49387575508668e-06,7.48032163958188e-05,"KCNH2",2.76235464928718,2.76235464928718
"829","ENSG00000061455",1128.60095079662,1.18843873363719,1.30080746647204e-06,2.63604548843748e-05,"PRDM6",2.2790597270491,2.2790597270491
"956","ENSG00000065989",707.542034907434,1.12413706884113,4.21923068900817e-18,2.07586149899202e-15,"PDE4A",2.17971130652082,2.17971130652082
"1021","ENSG00000067798",175.657850793869,1.97641153136309,5.20346157930623e-08,1.73375447738176e-06,"NAV3",3.93513063913613,3.93513063913613
"1074","ENSG00000069399",620.341555597383,1.48388524879659,1.43532544468331e-14,3.31361440352581e-12,"BCL3",2.79700968395246,2.79700968395246
"1189","ENSG00000072315",4.96709058509098,-1.81834450054388,3.20006460756186e-05,0.000390407882122546,"TRPC5",0.283546155281852,-3.52676268527068
"1201","ENSG00000072694",2167.09615331944,2.29603109596695,8.9270115728454e-12,9.40061302892057e-10,"FCGR2B",4.91104858766254,4.91104858766254
"1213","ENSG00000072952",611.579712664413,1.15697062489351,1.33088310720714e-15,3.73294054331782e-13,"MRVI1",2.2298870336562,2.2298870336562
"1247","ENSG00000073910",623.986949488738,1.64888600920951,4.87070174350322e-13,7.24381798592701e-11,"FRY",3.13591403043583,3.13591403043583
"1292","ENSG00000075213",529.356420515359,1.41444350251696,3.37343607722078e-09,1.69871750922064e-07,"SEMA3A",2.66556895351265,2.66556895351265
"1327","ENSG00000075884",80.4705233285384,1.83317170365156,9.59693847975614e-12,9.86381224843977e-10,"ARHGAP15",3.56319565413645,3.56319565413645
"1329","ENSG00000075891",6.82494801995168,-1.80616983259444,2.53742401250956e-05,0.000322000716547302,"PAX2",0.28594907968443,-3.49712613554689
"1498","ENSG00000080561",55.3552145963832,1.55457963309078,7.28602759379251e-07,1.6031397371327e-05,"MID2",2.93748122991235,2.93748122991235
"1705","ENSG00000086696",2835.28268815658,1.82493564744139,8.50409108938256e-12,9.08273244749286e-10,"HSD17B2",3.54291203847822,3.54291203847822
"1719","ENSG00000087085",402.263272420952,-1.18228683350887,3.67397471097303e-13,5.71312585625505e-11,"ACHE",0.440652460674311,-2.2693621146918
"1725","ENSG00000087116",1639.25480444584,1.88904247404953,1.46557864887406e-07,4.13004191643272e-06,"ADAMTS2",3.70389313396138,3.70389313396138
"1832","ENSG00000089225",1558.9965726999,1.10409028823539,0.000613430906667562,0.00438444590876563,"TBX5",2.14963287205241,2.14963287205241
"1852","ENSG00000089723",1334.66602715255,-1.03294478131049,0.00111906544851769,0.00710251053013635,"OTUB2",0.488711588126572,-2.04619662045134
"1868","ENSG00000090104",87.63746627954,1.66527877481975,0.000124685381236477,0.00118984345363089,"RGS1",3.17174937064258,3.17174937064258
"1972","ENSG00000092345",57.4204686046065,-1.41699432547734,1.71833481329307e-06,3.36403551314753e-05,"DAZL",0.374491706583657,-2.67028610358988
"2054","ENSG00000096060",1066.67173513186,1.22269286949884,8.58692134119195e-07,1.84342405788164e-05,"FKBP5",2.33381931179414,2.33381931179414
"2087","ENSG00000099260",440.184169921923,1.52724973306644,1.50993700869642e-06,3.01304717453437e-05,"PALMD",2.88235839583719,2.88235839583719
"2127","ENSG00000099860",1027.46337159063,1.01662806466197,0.000123820195221888,0.00118480481857492,"GADD45B",2.02318474578692,2.02318474578692
"2175","ENSG00000100055",1603.07512328665,1.51699620368293,3.45679749435026e-05,0.000414962717204982,"CYTH4",2.86194550909398,2.86194550909398
"2423","ENSG00000100985",671.54137831014,1.65001233064127,0.00045737048553449,0.0034506292136403,"MMP9",3.13836321490344,3.13836321490344
"2664","ENSG00000102312",7740.70832367681,-2.62319976900501,4.36184299405726e-21,3.53804410642288e-18,"PORCN",0.162307349196449,-6.16115046515637
"2681","ENSG00000102466",49.7279993449926,1.87299476288427,1.336037298824e-09,7.77076577757867e-08,"FGF14",3.66292144890651,3.66292144890651
"2899","ENSG00000104237",13.8810757750576,2.55714240273194,1.04658446943255e-07,3.09459045286795e-06,"RP1",5.8854078801306,5.8854078801306
"2900","ENSG00000104237",13.8810757750576,2.55714240273194,1.04658446943255e-07,3.09459045286795e-06,"RP1",5.8854078801306,5.8854078801306
"2907","ENSG00000104321",10.534536437522,2.88402808355819,6.09686108538186e-08,1.97388344006991e-06,"TRPA1",7.38208363976112,7.38208363976112
"2984","ENSG00000104848",2475.17389407141,-2.42230281994211,9.72795701311845e-10,5.89808981571133e-08,"KCNA7",0.186558135475458,-5.36025940359783
"3003","ENSG00000104894",764.064289307101,2.07655590012556,2.81187612061861e-14,6.1233842364052e-12,"CD37",4.21799065878776,4.21799065878776
"3034","ENSG00000105048",430.853824562252,1.62420398920962,4.53941167615723e-08,1.54990697639171e-06,"TNNT1",3.08272028245285,3.08272028245285
"3068","ENSG00000105246",84732.4677928829,-1.46949838216418,3.06895276024674e-07,7.64360250958715e-06,"EBI3",0.361107832439354,-2.76925591240933
"3133","ENSG00000105516",132.966629989524,1.02972138729289,1.5198851658388e-09,8.62283432838451e-08,"DBP",2.04162993455882,2.04162993455882
"3328","ENSG00000106536",121.168556726493,1.16919462552772,0.000710053984106761,0.00491696819820307,"POU6F2",2.24886120777228,2.24886120777228
"3378","ENSG00000106852",153.745195077042,1.88485948770161,3.57901583337201e-05,0.000426412954311872,"LHX6",3.6931695265564,3.6931695265564
"3383","ENSG00000106952",65.9125440049676,1.80231846752761,1.70497441750647e-07,4.67730276217589e-06,"TNFSF8",3.48780278774616,3.48780278774616
"3397","ENSG00000107105",4.85779338908687,-1.48814134849232,0.000181428359317945,0.00161429822705312,"ELAVL2",0.356471502224511,-2.80527333534276
"3512","ENSG00000108255",21.6128941697625,-1.33550772641263,0.000291848019037014,0.0023743406742583,"CRYBA1",0.39625259093336,-2.52364280481935
"3725","ENSG00000109906",24.1147666776428,3.02940500937839,6.60297321984609e-16,2.06425450285438e-13,"ZBTB16",8.1647290457243,8.1647290457243
"3862","ENSG00000111186",192.63440796046,1.91723452039545,2.69053619476333e-09,1.38981707878205e-07,"WNT5B",3.776983602394,3.776983602394
"4052","ENSG00000112299",254.772734061079,1.87964708415325,3.77520736387753e-07,9.08850123339663e-06,"VNN1",3.67985031774777,3.67985031774777
"4091","ENSG00000112562",807.410329032191,1.05558873049687,0.000365686028073451,0.00285806486316156,"SMOC2",2.0785662483883,2.0785662483883
"4126","ENSG00000112837",268.758238048429,1.56260326643078,6.59876813679488e-05,0.000704776616802449,"TBX18",2.9538637184368,2.9538637184368
"4149","ENSG00000113083",1950.29631251793,-1.79119935879968,3.04726500058759e-07,7.60852888499458e-06,"LOX",0.28893174784932,-3.46102499100067
"4226","ENSG00000113657",1502.07939142671,1.62537565518256,2.93941976264873e-07,7.38843098129093e-06,"DPYSL3",3.08522489045385,3.08522489045385
"4384","ENSG00000115155",31.1372145486141,-1.61966202590463,7.06758626930794e-06,0.000109167472524174,"OTOF",0.325411687758343,-3.07303037235288
"4468","ENSG00000115590",1615.50112764268,-1.00650641725799,0.00131607397070216,0.0080839156792291,"IL1R2",0.497750124785923,-2.00904017940747
"4511","ENSG00000115884",107490.425236674,-1.29458046140661,2.63314769643317e-05,0.000332024585285669,"SDC1",0.407654695764204,-2.45305649705657
"4552","ENSG00000116147",77.3517044249528,-1.46273200425613,8.43896034248839e-08,2.58198125968094e-06,"TNR",0.362805440617247,-2.75629824706786
"4620","ENSG00000116711",191.441291828956,1.74134484078332,2.16166252026072e-11,2.00233998636003e-09,"PLA2G4A",3.34346691375591,3.34346691375591
"4725","ENSG00000117461",854.111166279745,1.07962654622232,0.000124972860417632,0.00119182888047473,"PIK3R3",2.11348891587758,2.11348891587758
