"","ensembl_gene_id","external_gene_name","meth_diff","meth.p.val","log2FoldChange","padj","quadrant"
"1","ENSG00000004799","PDK4",-0.425160831757304,0.0216068398240323,1.178766403,1.09e-05,"purple"
"9","ENSG00000026103","FAS",-0.807811448369189,0.00651772106747949,1.567353125,4.65e-08,"purple"
"10","ENSG00000026508","CD44",-0.370372613365298,0.0150675011079045,1.549095737,3.38e-07,"purple"
"11","ENSG00000038295","TLL1",-0.517716374267798,0.000529632391884735,1.358499157,2.1e-06,"purple"
"17","ENSG00000054219","LY75",-0.670506392247684,0.00825794178367219,1.251106346,0.015858016,"purple"
"23","ENSG00000069431","ABCC9",-0.527599312982257,0.00215095604051147,1.374314601,7.33e-06,"purple"
"27","ENSG00000072858","SIDT1",-0.344739978958443,0.0412248559724159,1.381869559,0.001080418,"purple"
"28","ENSG00000075213","SEMA3A",-0.529842064931954,0.0292162521482538,1.414443503,1.7e-07,"purple"
"35","ENSG00000083857","FAT1",-0.462338017553716,0.0161483835403223,1.700013764,3.32e-20,"purple"
"50","ENSG00000101336","HCK",-0.380272637229493,0.0136947804187339,1.51984879,0.000110199,"purple"
"53","ENSG00000103175","WFDC1",-0.343370337730138,0.0249251488915551,1.262229656,4.15e-07,"purple"
"58","ENSG00000105989","WNT2",-0.745316975729833,0.00373985321616568,1.587034561,7.68e-07,"purple"
"68","ENSG00000108846","ABCC3",-0.526053238592705,0.00699330933774333,1.338685109,1.65e-07,"purple"
"74","ENSG00000111058","ACSS3",-0.479585424503066,0.00569625041884194,1.642211517,6.67e-06,"purple"
"85","ENSG00000113657","DPYSL3",-0.29349779356943,0.0322643406076721,1.625375655,7.39e-06,"purple"
"90","ENSG00000115361","ACADL",-0.452266728334623,0.0473318417155766,1.772256704,5.45e-07,"purple"
"102","ENSG00000121440","PDZRN3",-0.33840383214559,0.0162240453105916,1.044243196,0.000475495,"purple"
"103","ENSG00000122254","HS3ST2",-0.309836652915665,0.0220175751483511,1.40661989,0.021055208,"purple"
"105","ENSG00000122420","PTGFR",-0.467962484979726,0.00806338294583698,2.015974292,6.94e-10,"purple"
"115","ENSG00000126259","KIRREL2",-0.467413199750083,0.0110574272836344,1.248930375,0.000486408,"purple"
"124","ENSG00000128683","GAD1",-0.420165427109368,0.00699330933774333,2.81640068,5.69e-14,"purple"
"135","ENSG00000132972","RNF17",-0.405197432144152,0.0463050034047797,1.307553127,0.01004479,"purple"
"138","ENSG00000133116","KL",-0.494309689601485,0.0180399277970535,1.763069025,4.73e-06,"purple"
"151","ENSG00000137767","SQOR",-0.377195969155912,0.00666904460801799,1.917619859,9.13e-10,"purple"
"154","ENSG00000138135","CH25H",-0.387061239239334,0.0386523557832615,2.40753991,4.23e-06,"purple"
"158","ENSG00000138356","AOX1",-0.289667319062179,0.0336370612968427,1.45174884,0.026401641,"purple"
"161","ENSG00000138795","LEF1",-0.535719900482199,0.00663661813504545,1.339374115,0.015201388,"purple"
"164","ENSG00000140090","SLC24A4",-0.612269471091579,0.0453105915669553,2.47797496,3.11e-15,"purple"
"166","ENSG00000140450","ARRDC4",-0.420235845758405,0.0122680156079423,1.241836031,0.000311472,"purple"
"173","ENSG00000143171","RXRG",-0.353416492330955,0.0382416204589427,1.171441738,0.03639902,"purple"
"176","ENSG00000143772","ITPKB",-0.422375416217038,0.0409654441886356,1.111293733,1.66e-06,"purple"
"185","ENSG00000146070","PLA2G7",-0.345991069716541,0.0408357382967455,1.622755341,1.19e-07,"purple"
"196","ENSG00000149548","CCDC15",-0.433745675724746,0.0377984586616514,1.653874459,1.21e-08,"purple"
"199","ENSG00000151376","ME3",-0.541432851896424,0.00643125047288606,1.345011974,5.18e-05,"purple"
"205","ENSG00000152092","ASTN1",-0.299546537946328,0.0301458110401332,1.477732993,0.00881678,"purple"
"207","ENSG00000152503","TRIM36",-0.353000432566122,0.0227850016753678,1.250082771,0.003952524,"purple"
"209","ENSG00000152689","RASGRP3",-0.666657388388438,0.0352691937697937,1.156838289,0.000390408,"purple"
"214","ENSG00000156475","PPP2R2B",-0.457003334908893,0.00092955889187933,2.015737179,1.7e-08,"purple"
"228","ENSG00000162444","RBP7",-0.6545759068354,0.0372039733238216,1.627829978,4e-05,"purple"
"233","ENSG00000164116","GUCY1A1",-0.487906023340884,0.00942529481068344,1.320202816,4.35e-06,"purple"
"238","ENSG00000165025","SYK",-0.390295295908057,0.0378416939589481,1.677869685,1.28e-05,"purple"
"247","ENSG00000166979","EVA1C",-0.515260415333459,0.0032318384729293,1.622094022,5.11e-07,"purple"
"252","ENSG00000168621","GDNF",-0.302427848292659,0.0293027227428473,1.67221995,0.000177349,"purple"
"253","ENSG00000168875","SOX14",-0.750011458549273,0.0015888971756542,1.694850702,1.56e-05,"purple"
"258","ENSG00000172292","CERS6",-0.507263033337245,0.0335830171752219,1.411592233,3.89e-07,"purple"
"260","ENSG00000172985","SH3RF3",-0.724640918001973,0.00132948539187393,1.366429453,8.69e-06,"purple"
"271","ENSG00000176641","RNF152",-0.543707919810323,0.0408357382967455,1.811199846,2.83e-06,"purple"
"292","ENSG00000185518","SV2B",-0.435560946956461,0.0063123534053201,2.873508417,1.55e-08,"purple"
