"","chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"Block_1",7,40040763,44180541.3333333,0.0407925023528715,19.6619861340841,73,258692,259173,482,6281,3.55670002258505e-06,0.004,0.00111324710706912,0.172
"Block_2",6,134028852,136584563,0.0456294955654527,17.6129852882647,71,249413,249798,386,6164,3.55670002258505e-06,0.004,0.00152760265970028,0.192
"Block_3",18,55395883,56751428,0.0529016764104721,15.9763062759626,192,132038,132339,302,2350,3.55670002258505e-06,0.004,0.00205043756302028,0.222
"Block_4",6,127568996,130213256,0.0617185429259827,14.071827787124,71,248795,249022,228,6164,3.55670002258505e-06,0.004,0.00297162286886981,0.306
"Block_5",10,61661479,63595495,0.050367403313107,11.8363397785802,133,34761,34995,235,756,7.11340004517009e-06,0.004,0.00463260177941702,0.396
"Block_6",5,110288333,112676571,0.0392794425638882,12.4123038501887,61,227879,228194,316,8919,1.24484500790477e-05,0.006,0.00406886482583729,0.37
"Block_7",4,146028480,147466455,0.0535909740206957,9.64637532372522,50,214958,215137,180,2301,1.06701000677551e-05,0.006,0.00788342560005975,0.518
"Block_8",1,120136587,120530024.5,0.0544141618011163,3.21043554626586,5,15698,15756,59,1702,8.89175005646261e-06,0.006,0.0729336906631289,0.994
"Block_9",10,48208810,48660050,0.0548964579705942,2.90951227244149,129,33876,33928,53,53,8.89175005646261e-06,0.006,0.0850691511401891,1
"Block_10",3,53282097,56254785,0.0371546437909467,12.6697335327128,31,190172,190512,341,4234,1.42268000903402e-05,0.008,0.00384657107442573,0.362
"Block_11",5,131983498,133797418.5,0.0372884316050753,12.3051824296748,61,229812,230141,330,8919,1.60051501016327e-05,0.008,0.00415778232640192,0.37
"Block_12",1,60891629,62549091,0.0525922264646742,8.99327072545928,4,10429,10599,171,11588,1.95618501242177e-05,0.008,0.00937901795955676,0.578
"Block_13",7,76235611,77179087,0.0509866739186326,3.87498721781608,80,261614,261689,76,831,2.66752501693878e-05,0.01,0.0536955002409664,0.978
"Block_14",1,63142359,70556678,0.0344763550409891,27.9948002932831,4,10673,11484,812,11588,1.24484500790477e-05,0.012,0.000403685452563403,0.106
"Block_15",7,21501136,22936872,0.0478271788568484,8.22627476337793,73,256397,256568,172,6281,3.02319501919729e-05,0.014,0.0115094812730852,0.644
"Block_16",7,7363286,8576255,0.0477457991622537,6.77990348104002,73,255332,255473,142,6281,3.7345350237143e-05,0.014,0.017922211413806,0.728
"Block_17",1,53107021,57790248,0.0340874533709864,27.8494494040959,4,9279,10095,817,11588,1.60051501016327e-05,0.016,0.000410798852608573,0.108
"Block_18",6,118585327,122874912,0.0391005181761222,10.7917430166097,71,248215,248490,276,6164,3.20103002032654e-05,0.018,0.00597525603794288,0.48
"Block_19",1,205760086,206330041,0.0485212658106909,3.78465873323389,15,23075,23152,78,1780,3.91237002484355e-05,0.018,0.0558010666543368,0.98
"Block_20",8,81776829,82167155,0.0496104463570343,3.57195213770647,94,277889,277960,72,409,4.26804002710205e-05,0.018,0.0614508846402131,0.982
"Block_21",4,166339285,167448679,0.0481620179020027,2.74523502041415,51,216594,216650,57,582,5.69072003613607e-05,0.018,0.0928031953393003,1
"Block_22",6,94431180,95220699,-0.0518300047516114,1.08843009978384,67,246338,246358,21,21,4.26804002710205e-05,0.018,0.280662755482208,1
"Block_23",11,33729190,35773194,0.0355847803797088,14.5897599556806,137,48438,48847,410,2426,2.66752501693878e-05,0.02,0.00270131366715334,0.274
"Block_24",2,186473601,190513954,0.0368879949483422,10.7712945249159,28,159704,159995,292,1434,4.26804002710205e-05,0.02,0.00600904468815743,0.48
"Block_25",9,15697398,16964111,0.0475146512530427,5.41667024284687,104,285983,286096,114,750,5.15721503274832e-05,0.02,0.0286936774322049,0.852
"Block_26",6,1374017,3007346,0.0380165781746435,10.6446418889002,62,236486,236765,280,3405,3.55670002258505e-05,0.022,0.00619932813936573,0.488
"Block_27",8,123561727,124807029,0.0371658356672122,10.4435998224866,98,281507,281787,281,4575,4.0902050259728e-05,0.022,0.00649986929127417,0.492
"Block_28",7,16307431,18679329,0.0371954242044452,10.191546232018,73,255878,256151,274,6281,4.97938003161906e-05,0.022,0.00693734339405213,0.502
"Block_29",8,133828830,134875316,0.0375149715301828,9.94146745549845,98,283303,283567,265,4575,4.44587502823131e-05,0.022,0.00730724019640097,0.506
"Block_30",6,139617248,144150174,0.0352823033740605,14.9244143272276,71,250245,250667,423,6164,3.02319501919729e-05,0.024,0.00252525701603538,0.27
"Block_31",7,139001238,139983772,0.0428566700131138,9.42846740288505,85,267476,267695,220,2152,3.91237002484355e-05,0.024,0.00831734300281513,0.552
"Block_32",1,10398268,11142643,0.0407265053938593,9.12273720822448,2,1832,2055,224,2463,4.44587502823131e-05,0.026,0.00898244590703853,0.57
"Block_33",4,173853024,174415720,0.0464132076046237,3.85229623118376,52,217045,217127,83,450,6.75773004291159e-05,0.026,0.0542076650442187,0.978
"Block_34",12,5095259,6304718.4,0.0434297581839789,8.81624091134772,144,61548,61750,203,4288,4.62371002936056e-05,0.028,0.00985383741257187,0.598
"Block_35",9,2944627,4620361,0.045340260418174,6.57433776063523,99,285256,285400,145,659,5.51288503500682e-05,0.028,0.0191083708713382,0.744
"Block_36",9,13054868,14471253,0.0456503367548977,5.11283771654855,104,285780,285891,112,750,6.93556504404084e-05,0.028,0.0320458672034913,0.874
"Block_37",2,45402588.5,47684718,0.0338911890505202,16.6744650128559,17,146704,147195,492,10302,4.26804002710205e-05,0.03,0.00181213866150708,0.204
"Block_38",1,58898672.3333333,60749646,0.0368818547090315,8.92540883958562,4,10184,10425,242,11588,8.35824505307486e-05,0.03,0.00953017771051663,0.586
"Block_39",6,42939029,48842800,0.0293688460361753,22.9076999082167,63,242930,243709,780,4916,5.33505003387757e-05,0.032,0.000698891554437961,0.15
"Block_40",1,197281421,201488735.75,0.0296933203514597,17.2518191241981,15,21470,22050,581,1780,7.64690504855785e-05,0.032,0.00162719026033266,0.198
"Block_41",3,28502257,30489255,0.0432147774841644,6.00685407029885,30,186949,187087,139,3632,8.35824505307486e-05,0.032,0.023283936697853,0.784
"Block_42",2,204209993,206798844,0.0353953961303786,11.0079681965477,29,161311,161621,311,6382,8.00257505081635e-05,0.034,0.00566404478596668,0.452
"Block_43",16,55469233,58270069,0.0283104748186446,16.5899382437257,182,110706,111291,586,6187,0.000124484500790477,0.04,0.00183703556166518,0.204
"Block_44",4,138774829,141728119,0.0313266054452405,12.5619687835414,50,214282,214682,401,2301,0.000115592750734014,0.044,0.00394082362502423,0.366
"Block_45",1,81050266.5,86159021,0.0309332089563603,12.0020850750678,4,12095,12482,388,11588,0.000135154600858232,0.044,0.00446899357837811,0.38
"Block_46",5,125149367,127806650,0.034762377994213,10.5677629102408,61,229189,229492,304,8919,0.000103144300654966,0.044,0.00632025594013362,0.49
"Block_47",1,40063592,49255621,0.0221765961306404,33.5088367533977,4,7439,8949,1511,11588,8.00257505081635e-05,0.046,0.00022585045143415,0.07
"Block_48",9,30575346,32069870,-0.0471318946804766,1.08403357765096,106,286646,286668,23,792,0.000108479350688844,0.046,0.281719095388916,1
"Block_49",2,217414827,219381537,0.029859127177162,13.4366072297229,29,162639,163088,450,6382,0.000138711300880817,0.048,0.00335574647130899,0.33
"Block_50",10,115943390,116761428,0.0411941527267961,6.46748197810698,135,41647,41803,157,6782,0.000113814400722721,0.052,0.0198303809759229,0.752
"Block_51",1,23822281,26158583,0.0277449526970584,14.8712946456233,4,4591,5126,536,11588,0.00018317005116313,0.058,0.00254659721617089,0.27
"Block_52",3,46274872,47012985,0.0406452875582694,6.38131014664829,31,189012,189168,157,4234,0.000136932950869524,0.058,0.0204172364796495,0.758
"Block_53",5,75477137,77014952,0.0393275784947628,8.02282601293162,60,225178,225381,204,2699,0.000113814400722721,0.06,0.0122883985780313,0.658
"Block_54",2,111498847,112029508,0.0410320967652615,3.40566403151671,25,153054,153136,83,94,0.00019739685125347,0.062,0.0664160378717418,0.986
"Block_55",6,75933274,76266127,0.0412544760647035,2.43401408781751,65,245180,245238,59,536,0.000229407151456735,0.064,0.110241695550035,1
"Block_56",3,59703569,62401267.5,0.0371653239132331,8.10204061308481,31,190976,191193,218,4234,0.000144046350914694,0.066,0.0119647388759761,0.654
"Block_57",11,78342065,79419782,0.0402177911663426,5.42940180745625,141,54308,54442,135,5490,0.000177835001129252,0.068,0.0285371826312111,0.852
"Block_58",1,15051085,17907117,0.0255624574221319,16.3344102927423,4,2624,3262,639,11588,0.000238298901513198,0.07,0.00190105616207171,0.208
"Block_59",5,65491468.5,66229091,0.0403182660203318,2.78196035540289,57,224272,224340,69,535,0.000261417451660001,0.072,0.0911351030287079,1
"Block_60",7,92961200,94529345,0.039017243417945,5.73553478243791,82,262817,262963,147,1532,0.000209845301332518,0.074,0.025521101012059,0.808
"Block_61",8,103870495.5,104411856,0.0397992935750876,4.45752088040981,97,279886,279997,112,2233,0.000231185501468028,0.074,0.0417521015651258,0.936
"Block_62",10,71319983,73527235,0.026215699516508,14.6807917292445,134,35672,36231,560,2324,0.000259639101648708,0.076,0.00265151986683715,0.274
"Block_63",15,68831582,69940648,0.0358285485849567,8.09725198020022,173,100521,100746,226,7146,0.00017605665111796,0.078,0.0119789656760664,0.654
"Block_64",4,38719566.3333333,39277718,0.0390979529544331,3.63610962476228,45,207793,207885,93,1035,0.000300541151908436,0.084,0.0596423026787286,0.982
"Block_65",4,41206196,42065022,0.0390008476419846,3.58807798306258,45,208225,208316,92,1035,0.000316546302010069,0.084,0.0609600600370964,0.982
"Block_66",11,15503622,16765794,0.0386278066545755,4.13317531203958,136,46938,47044,107,3353,0.000316546302010069,0.088,0.0478269452037011,0.956
"Block_67",1,245108307,246231142,0.0375438988048202,7.58386755857368,16,28050,28251,202,5445,0.000188505101197007,0.09,0.0140436300391771,0.68
"Block_68",3,64070,1050084.5,-0.0413109198971852,1.90030231527052,30,183968,184013,46,3632,0.000298762801897144,0.09,0.153389801874025,1
"Block_69",10,80416619,81374572,0.032646983547334,8.97792047551686,134,37357,37631,275,2324,0.000275644251750341,0.092,0.00942169835982778,0.58
"Block_70",5,89900881,90937670,0.0381676666328472,4.08394032971466,60,226483,226589,107,2699,0.000336108152134287,0.094,0.0488868418104314,0.958
"Block_71",12,88719298,93593903,0.0246662848786744,14.4791092237819,151,69767,70353,587,7322,0.000421468952676328,0.098,0.00275466416749212,0.28
"Block_72",1,177724656,179279856,0.0341910700068416,7.86394610157357,14,19700,19929,230,5433,0.000277422601761634,0.098,0.0128521355316111,0.66
"Block_73",21,23341718,23747055,0.0508714922435499,0.712200891409698,203,175252,175265,14,78,0.000126262850801769,0.1,0.396691201968989,1
"Block_74",4,87683990,89505575.3333333,0.0323105947570979,8.36844404208835,49,211183,211441,259,4804,0.000337886502145579,0.102,0.0110897906704202,0.632
"Block_75",7,68947865,70250376,0.0374974673961819,6.11208718557764,78,260872,261034,163,593,0.000256082401626123,0.102,0.0224409987925003,0.778
"Block_76",4,74880762,77156937,0.0356643541882217,7.560843087903,49,210034,210245,212,4804,0.000261417451660001,0.104,0.0141698928899788,0.68
"Block_77",3,100826882,102134557,0.0373941131385387,5.42214640508811,39,193652,193796,145,667,0.000307654551953606,0.104,0.0286047599316402,0.852
"Block_78",6,90639197,91151394,0.0377174247870338,3.43228565562008,66,246138,246228,91,1008,0.00040190710255211,0.106,0.0655695432663666,0.986
"Block_79",5,147827514,150903132,0.0237055467301792,16.0960662297917,61,232030,232708,679,8919,0.000473041103003811,0.108,0.0019970870626815,0.218
"Block_80",2,120719470,121857226,0.0299681723859763,9.26016526726669,26,153848,154156,309,1216,0.00035922670228109,0.11,0.00870324495526561,0.564
"Block_81",1,235529286,236856907,0.0352558203893724,7.43897810215757,16,27076,27286,211,5445,0.000304097851931021,0.11,0.0146518257430391,0.686
"Block_82",2,178052747,178354321,0.0400355155749439,1.96174026317225,28,159039,159087,49,1434,0.000400128752540818,0.11,0.147485679836534,1
"Block_83",20,12133799,16460452.5,0.0317462018823435,8.44448970070338,197,168053,168318,266,2631,0.000364561752314967,0.112,0.0108923938191667,0.624
"Block_84",7,26220561,27803707,0.0369892877970487,6.43613607668648,73,256954,257127,174,6281,0.000280979301784219,0.114,0.0200526747273345,0.758
"Block_85",12,3226445,4312337,0.0323862061772962,7.74030327637379,144,61193,61431,239,4288,0.0003805669024166,0.116,0.0133429601347278,0.662
"Block_86",21,21183162,21354552,-0.0621149917136133,0.18634497514084,203,175191,175193,3,78,0.000131597900835647,0.122,0.73987718714822,1
