"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_1","chr22",18506583,18507014,431,"*",-1.30913412581328,3.92740237743985,279322,85816,85818,3,11,0,0,0.0372039733238216,0.976
"DMR_2","chr12",16757954,16759793,1839,"*",-0.440027141829093,13.6408413967019,95522,29246,29276,31,35,3.24264729725348e-05,0.012,0.000129705891890139,0.04
"DMR_3","chr6",33160067,33161849,1782,"*",-0.393146655458572,12.1875463192157,369670,115818,115848,31,31,4.3235297296713e-05,0.016,0.000226985310807743,0.068
"DMR_4","chr10",135049991,135051532,1541,"*",-0.3713671377655,11.5123812707305,66297,19213,19243,31,31,4.3235297296713e-05,0.016,0.000367500027022061,0.08
"DMR_5","chr4",166793622,166795913,2291,"*",-0.517716374267798,10.8720438596238,334432,101260,101280,21,24,4.3235297296713e-05,0.016,0.000529632391884735,0.116
"DMR_6","chr8",70745342,70746666,1324,"*",-0.536132097681272,10.7226419536254,423030,130219,130238,20,20,4.3235297296713e-05,0.016,0.000594485337829804,0.136
"DMR_7","chr6",30226874,30228431,1557,"*",-0.368590314466812,11.4262997484712,368361,111796,111826,31,31,5.40441216208913e-05,0.02,0.000389117675670417,0.084
"DMR_8","chr12",4381435,4382425,990,"*",-0.392136877121676,10.5876956822852,92866,28258,28284,27,27,5.40441216208913e-05,0.02,0.000670147108099052,0.16
"DMR_9","chr8",11659497,11660968,1471,"*",0.483832598754951,9.19281937634408,414955,128206,128224,19,19,8.64705945934261e-05,0.028,0.00148080893241242,0.328
"DMR_10","chr6",31370532,31371967,1435,"*",-0.30587837291087,10.0939863060587,368801,113005,113037,33,33,8.64705945934261e-05,0.032,0.000907941243230974,0.204
"DMR_11","chr2",109745344,109746251,907,"*",-0.724640918001973,9.42033193402565,241186,76448,76460,13,13,0.000108088243241783,0.032,0.00132948539187393,0.304
